word,hiragana,romaji,reason,note,pos,category
弁,べん,ben,abstract_word,kanji_only,普通名詞,抽象物
便宜,べんぎ,bengi,abstract_word,kanji_only,普通名詞,抽象物
弁解,べんかい,benkai,abstract_word,kanji_only,サ変名詞,抽象物
弁明,べんめい,benmei,abstract_word,kanji_only,サ変名詞,抽象物
便法,べんぽう,benpo,abstract_word,kanji_only,普通名詞,抽象物
勉励,べんれい,benrei,abstract_word,kanji_only,サ変名詞,抽象物
弁論,べんろん,benron,abstract_word,kanji_only,サ変名詞,抽象物
弁舌,べんぜつ,benzetsu,abstract_word,kanji_only,普通名詞,抽象物
別表,べっぴょう,beppyo,abstract_word,kanji_only,普通名詞,抽象物
蔑視,べっし,besshi,abstract_word,kanji_only,サ変名詞,抽象物
別種,べっしゅ,besshu,abstract_word,kanji_only,普通名詞,抽象物
別便,べつびん,betsubin,abstract_word,kanji_only,普通名詞,抽象物
別条,べつじょう,betsujo,abstract_word,kanji_only,普通名詞,抽象物
別名,べつめい,betsumei,abstract_word,kanji_only,普通名詞,抽象物
別離,べつり,betsuri,abstract_word,kanji_only,普通名詞,抽象物
別枠,べつわく,betsuwaku,abstract_word,kanji_only,普通名詞,抽象物
別途,べっと,betto,abstract_word,kanji_only,普通名詞,抽象物
美貌,びぼう,bibo,abstract_word,kanji_only,普通名詞,抽象物
備蓄,びちく,bichiku,abstract_word,kanji_only,サ変名詞,抽象物
微動,びどう,bido,abstract_word,kanji_only,サ変名詞,抽象物
微風,びふう,bifu,abstract_word,kanji_only,普通名詞,抽象物
美風,びふう,bifu,abstract_word,kanji_only,普通名詞,抽象物
美学,びがく,bigaku,abstract_word,kanji_only,普通名詞,抽象物
美技,びぎ,bigi,abstract_word,kanji_only,普通名詞,抽象物
美辞,びじ,biji,abstract_word,kanji_only,普通名詞,抽象物
美辞麗句,びじれいく,bijireiku,abstract_word,kanji_only,普通名詞,抽象物
美化,びか,bika,abstract_word,kanji_only,サ変名詞,抽象物
美観,びかん,bikan,abstract_word,kanji_only,普通名詞,抽象物
備考,びこう,biko,abstract_word,kanji_only,普通名詞,抽象物
尾行,びこう,biko,abstract_word,kanji_only,サ変名詞,抽象物
美名,びめい,bimei,abstract_word,kanji_only,普通名詞,抽象物
貧乏,びんぼう,binbo,abstract_word,kanji_only,サ変名詞,抽象物
便乗,びんじょう,binjo,abstract_word,kanji_only,サ変名詞,抽象物
美麗,びれい,birei,abstract_word,kanji_only,普通名詞,抽象物
美声,びせい,bisei,abstract_word,kanji_only,普通名詞,抽象物
微震,びしん,bishin,abstract_word,kanji_only,普通名詞,抽象物
微笑,びしょう,bisho,abstract_word,kanji_only,サ変名詞,抽象物
美醜,びしゅう,bishu,abstract_word,kanji_only,普通名詞,抽象物
美装,びそう,biso,abstract_word,kanji_only,普通名詞,抽象物
美点,びてん,biten,abstract_word,kanji_only,普通名詞,抽象物
